Lunch Status,,,,,,,,
"School Year 2013-14, Survey 2 Data, Final (as of 05/11/14)",,,,,,,,
DISTRICT/SCHOOL TOTALS,,,,,,,,
An asterisk (*) replaces data when the cohort is fewer than ten students. A blank cell indicates no students in the cohort.,,,,,,,,
, ,,,,,,,
District Number,District Name,School Number,School Name,Total Members,#Free ,#Reduced Priced  ,#Provision 2,#Direct Cert
01,ALACHUA,9999,DISTRICT RECORD,"28,157","13,496","1,382",,
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,310,271,14,,
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,578,302,25,,
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,484,281,23,,
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,67,53,*,,
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,300,277,*,,
01,ALACHUA,0081,SIDNEY LANIER CENTER,150,83,*,,
01,ALACHUA,0082,HOSPITAL HOMEBOUND,42,*,*,,
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,620,347,32,,
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,398,359,17,,
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,566,391,18,,
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,677,332,35,,
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,692,391,28,,
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,986,492,55,,
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,"1,836",697,106,,
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,365,214,19,,
01,ALACHUA,0171,ARCHER ELEMENTARY,453,245,22,,
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,281,203,21,,
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,356,195,27,,
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,574,247,29,,
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,"1,135",414,45,,
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,194,149,12,,
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,221,182,*,,
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,678,526,43,,
