MEMBERSHIP BY GRADE/RACE/GENDER BY SCHOOL,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/20/14",,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed.  Data for groups less than 10 are displayed with an asterisk (*).  
Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,
District #,District,School #,School ,Grade,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,Female Total,Male Total,Total
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,KG, ,36,2, , , , ,15,23,38
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,1, ,33,3,1, , , ,16,21,37
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,2,1,38,1, , , ,3,21,22,43
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,3, ,32,4, , , ,2,18,20,38
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,4, ,33, , , , , ,19,14,33
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,5,2,24, , , , ,2,13,15,28
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0021,SCHOOL TOTALS,TOTAL,3,196,10,1, , ,7,102,115,217
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,PK,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,KG,37,24,17,16, , ,5,49,50,99
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,1,38,33,18,16, , ,4,50,59,109
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,2,36,23,16,23, , ,5,52,51,103
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,3,35,35,24,5, , ,5,50,54,104
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,4,40,27,18,8,1, ,5,53,46,99
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,5,27,31,15,8, , ,6,43,44,87
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0031,SCHOOL TOTALS,TOTAL,214,173,108,76,1, ,30,297,305,602
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,PK, , , , , , , , , , 
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,KG,19,31,7,1, , ,10,33,35,68
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,1,19,33,7,4, , ,5,31,37,68
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,2,34,36,10,5, , ,9,58,36,94
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,3,28,30,8,9, , ,7,40,42,82
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,4,36,23,6,5,1, ,9,40,40,80
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,5,25,29,6,13,1, ,9,45,38,83
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,6, , , , , , , , , , 
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,7, , , , , , , , , , 
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,8, , , , , , , , , , 
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,9, , , , , , , , , , 
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,10, , , , , , , , , , 
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,11, , , , , , , , , , 
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,12, , , , , , , , , , 
01,ALACHUA,0041,SCHOOL TOTALS,TOTAL,161,182,44,37,2, ,49,247,228,475
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,PK, , , , , , , , , , 
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,KG,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,1,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,2,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,3,3,9,1, , , ,1,5,9,14
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,4,1,9, , , , , ,2,8,10
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,5,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,6,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,7,1,10, , , , ,2,3,10,13
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,8,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,9,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,10,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,11,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR.,12,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0052,SCHOOL TOTALS,TOTAL,22,64,2, , , ,8,20,76,96
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,PK, ,34, , , ,1,3,18,20,38
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,KG,5,40,1, , , ,1,23,24,47
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,1,6,47,1, , , ,1,28,27,55
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,2,5,31, , , , ,3,18,21,39
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,3,4,50, , , , ,3,25,32,57
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,4,4,34,1, , , ,3,20,22,42
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,5,4,40, ,1, , ,2,20,27,47
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0071,SCHOOL TOTALS,TOTAL,28,276,3,1, ,1,16,152,173,325
01,ALACHUA,0081,SIDNEY LANIER CENTER,PK,11,51,6,1, , ,2,18,53,71
01,ALACHUA,0081,SIDNEY LANIER CENTER,KG,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0081,SIDNEY LANIER CENTER,1,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0081,SIDNEY LANIER CENTER,2, , , , , , , , , , 
01,ALACHUA,0081,SIDNEY LANIER CENTER,3,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0081,SIDNEY LANIER CENTER,4,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0081,SIDNEY LANIER CENTER,5,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0081,SIDNEY LANIER CENTER,6,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0081,SIDNEY LANIER CENTER,7,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0081,SIDNEY LANIER CENTER,8,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0081,SIDNEY LANIER CENTER,9,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0081,SIDNEY LANIER CENTER,10,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0081,SIDNEY LANIER CENTER,11,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0081,SIDNEY LANIER CENTER,12,26,14,2,1, , , ,19,24,43
01,ALACHUA,0081,SCHOOL TOTALS,TOTAL,54,83,13,3, , ,6,55,104,159
01,ALACHUA,0082,HOSPITAL HOMEBOUND,PK,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0082,HOSPITAL HOMEBOUND,KG,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0082,HOSPITAL HOMEBOUND,1,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0082,HOSPITAL HOMEBOUND,2,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0082,HOSPITAL HOMEBOUND,3, , , , , , , , , , 
01,ALACHUA,0082,HOSPITAL HOMEBOUND,4,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0082,HOSPITAL HOMEBOUND,5,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0082,HOSPITAL HOMEBOUND,6,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0082,HOSPITAL HOMEBOUND,7,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0082,HOSPITAL HOMEBOUND,8,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0082,HOSPITAL HOMEBOUND,9,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0082,HOSPITAL HOMEBOUND,10,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0082,HOSPITAL HOMEBOUND,11,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0082,HOSPITAL HOMEBOUND,12,5,2,3, , , , ,5,5,10
01,ALACHUA,0082,SCHOOL TOTALS,TOTAL,25,14,4, , , , ,17,26,43
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,PK,10,6,3,2, , , ,7,14,21
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,KG,65,39,20,7, , ,13,69,75,144
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,1,45,32,15,3, , ,2,47,50,97
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,2,40,39,13,5, , ,7,44,60,104
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,3,45,30,14,4, , ,4,40,57,97
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,4,47,25,9,2, , ,8,47,44,91
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,5,38,26,14,2,1, ,6,36,51,87
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0091,SCHOOL TOTALS,TOTAL,290,197,88,25,1, ,40,290,351,641
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,PK, ,82,3, , ,1,2,43,45,88
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,KG,8,71, ,1, , ,1,34,47,81
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,1,3,70,1, ,1, ,3,37,41,78
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,2,6,70,2, , , ,1,34,45,79
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,3,10,69, , , , ,1,34,46,80
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,4,3,61, , , ,1,2,31,36,67
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,5,6,58,1,1, , ,2,33,35,68
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,6, , , , , , , , , , 
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,7, , , , , , , , , , 
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,8, , , , , , , , , , 
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,9, , , , , , , , , , 
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,10, , , , , , , , , , 
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,11, , , , , , , , , , 
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,12, , , , , , , , , , 
01,ALACHUA,0101,SCHOOL TOTALS,TOTAL,36,481,7,2,1,2,12,246,295,541
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,KG,5,65,1, , , ,4,38,37,75
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,1,5,68,5,1, , ,2,37,44,81
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,2,15,70,2,9, , ,2,43,55,98
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,3,14,78,4,10, , ,2,54,54,108
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,4,19,73, ,10, , ,6,49,59,108
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,5,19,56,1,15, ,3,4,47,51,98
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0111,SCHOOL TOTALS,TOTAL,77,410,13,45, ,3,20,268,300,568
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,KG, , , , , , , , , , 
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,1, , , , , , , , , , 
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,2, , , , , , , , , , 
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,3, , , , , , , , , , 
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,4, , , , , , , , , , 
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,5, , , , , , , , , , 
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,6,60,142,7,37,2,2,10,129,131,260
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,7,61,107,8,37, ,1,17,108,123,231
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,8,62,112,9,31, ,1,11,129,97,226
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0112,SCHOOL TOTALS,TOTAL,183,361,24,105,2,4,38,366,351,717
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,KG, , , , , , , , , , 
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,1, , , , , , , , , , 
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,2, , , , , , , , , , 
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,3, , , , , , , , , , 
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,4, , , , , , , , , , 
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,5, , , , , , , , , , 
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,6,79,126,14,12,1, ,21,128,125,253
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,7,83,142,5,7, , ,14,109,142,251
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,8,88,127,11,4, ,1,13,121,123,244
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0121,SCHOOL TOTALS,TOTAL,250,395,30,23,1,1,48,358,390,748
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,KG, , , , , , , , , , 
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,1, , , , , , , , , , 
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,2, , , , , , , , , , 
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,3, , , , , , , , , , 
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,4, , , , , , , , , , 
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,5, , , , , , , , , , 
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,6,107,106,28,16,1, ,20,137,141,278
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,7,142,121,25,8, , ,20,141,175,316
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,8,137,118,45,13, , ,25,169,169,338
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0141,SCHOOL TOTALS,TOTAL,386,345,98,37,1, ,65,447,485,932
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,KG, , , , , , , , , , 
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,1, , , , , , , , , , 
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,2, , , , , , , , , , 
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,3, , , , , , , , , , 
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,4, , , , , , , , , , 
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,5, , , , , , , , , , 
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,9,212,185,52,18, ,1,37,272,233,505
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,10,196,164,50,19, , ,27,234,222,456
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,11,215,163,41,11, , ,26,239,217,456
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,12,203,136,39,18, , ,27,229,194,423
01,ALACHUA,0151,SCHOOL TOTALS,TOTAL,826,648,182,66, ,1,117,974,866,"1,840"
