MEMBERSHIP BY GRADE BY SCHOOL,,,,,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/21/14",,,,,,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,,,,,
DIST #,DISTRICT NAME,SCHL #,SCHOOL NAME,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,TOTAL MEMBERSHIP
01,ALACHUA,0021,CHARLES W. DUVAL ELEM SCHOOL,  ,38,37,43,38,33,28, , , , , , , ,217
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,1,99,109,103,104,99,87, , , , , , , ,602
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL, ,68,68,94,82,80,83, , , , , , , ,475
01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUD.CTR., ,2,6,8,14,10,7,9,13,9,3,5,7,3,96
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,38,47,55,39,57,42,47, , , , , , , ,325
01,ALACHUA,0081,SIDNEY LANIER CENTER,71,2,2, ,2,3,4,7,7,3,4,4,7,43,159
01,ALACHUA,0082,HOSPITAL HOMEBOUND,2,2,2,2, ,3,3,2,2,5,2,3,5,10,43
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,21,144,97,104,97,91,87, , , , , , , ,641
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHO,88,81,78,79,80,67,68, , , , , , , ,541
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL, ,75,81,98,108,108,98, , , , , , , ,568
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL, , , , , , , ,260,231,226, , , , ,717
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL, , , , , , , ,253,251,244, , , , ,748
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL, , , , , , , ,278,316,338, , , , ,932
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL, , , , , , , , , , ,505,456,456,423,"1,840"
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL, , , , ,130,115,109, , , , , , , ,354
01,ALACHUA,0171,ARCHER ELEMENTARY,20,75,58,88,78,80,100, , , , , , , ,499
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL, , , , , , , ,26,36,44,41,36,24,51,258
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL, , , , , , , ,140,122,126, , , , ,388
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL, , , , , , , , , , ,186,147,146,135,614
01,ALACHUA,0271,SANTA FE HIGH SCHOOL, , , , , , , , , , ,291,324,280,278,"1,173"
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,15,34,34,39,23,34,29, , , , , , , ,208
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,15,25,31,38,25,24,35, , , , , , , ,193
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,115,109,111,95,87,79,81, , , , , , , ,677
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL, ,138,124,138,115,108,88, , , , , , , ,711
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL, ,87,85,89,89,58,66, , , , , , , ,474
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,113,50,41,36,44,25,28, , , , , , , ,337
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,12, , , , , , , , , ,71,49,47,36,215
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL, , , , , , , ,6,21,21,8,10,7,2,75
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL, , , , , , , , , , ,378,402,334,279,"1,393"
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL, , , , , , , , , , ,546,579,569,508,"2,202"
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,20,69,93,67,88,82,88,101,100,102, , , , ,810
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL, , , , , , , ,286,275,269, , , , ,830
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,22,135,118,123,122,144,116, , , , , , , ,780
01,ALACHUA,0492,FEARNSIDE FAMILY SERVICES CENT,64, , , , , , , , , , , , , ,64
01,ALACHUA,0501,KIMBALL WILES ELEM. SCHOOL,2,152,170,130,132,115,140, , , , , , , ,841
01,ALACHUA,0502,KANAPAHA MIDDLE SCHOOL, , , , , , , ,311,299,351, , , , ,961
01,ALACHUA,0503,WILES HEAD START,87, , , , , , , , , , , , , ,87
01,ALACHUA,0510,LAWTON M. CHILES ELEM. SCHOOL,1,124,133,129,138,94,99, , , , , , , ,718
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,2,125,129,136,115,128,99, , , , , , , ,734
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,31,110,119,100,106,116, , , , , , , , ,582
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,22,96,129,115,107,106,97, , , , , , , ,672
01,ALACHUA,0561,WILLIAM S. TALBOT ELEM SCHOOL,9,102,128,120,105,129,92, , , , , , , ,685
01,ALACHUA,0571,W. W. IRBY ELEMENTARY SCHOOL,50,136,152,155, , , , , , , , , , ,493
01,ALACHUA,0591,OAK VIEW MIDDLE SCHOOL, , , , , , ,77,213,212,198, , , , ,700
01,ALACHUA,0602,ALACHUA ACADEMY, , , , , , , , ,2,2,7,3,1, ,15
01,ALACHUA,0603,AMIKIDS, , , , , , , ,1,7,14,12,6,1,1,42
01,ALACHUA,0604,PACE, , , , , , , , ,5,11,7,9,4,1,37
01,ALACHUA,0950,THE ONE ROOM SCHOOL HOUSE PROJ,32,50,47,38,33,21,15, , , , , , , ,236
01,ALACHUA,0951,MICANOPY AREA COOPERATIVE SCHO,24,36,31,28,18,21,22, , , , , , , ,180
01,ALACHUA,0953,CARING & SHARING LEARNING SCHO, ,22,24,12,26,13,23,15, , , , , , ,135
01,ALACHUA,0955,"THE EINSTEIN SCHOOL, INC.", , , ,13,15,18,16,19,21,11, , , , ,113
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACAD, ,17,19,15,14,15,13, , , , , , , ,93
