"","district","school_number","school","totmem","type","total_from_race","total_white","total_black","total_hispanic","total_asian","free_reduced","per_fr"
"1","ALACHUA",21,"CHARLES W. DUVAL ELEM SCHOOL",310,"elem",217,3,196,10,1,285,91.9354838709677
"2","ALACHUA",31,"J. J. FINLEY ELEMENTARY SCHOOL",578,"elem",601,213,173,108,76,327,56.5743944636678
"3","ALACHUA",41,"STEPHEN FOSTER ELEMENTARY SCHL",484,"elem",475,161,182,44,37,304,62.8099173553719
"4","ALACHUA",52,"A.QUINN JONES/EXCEP.STUD.CTR.",67,"elem",37,5,28,1,0,53,79.1044776119403
"5","ALACHUA",71,"LAKE FOREST ELEMENTARY SCHOOL",300,"elem",325,28,276,3,1,277,92.3333333333333
"6","ALACHUA",81,"SIDNEY LANIER CENTER",150,"pk",114,37,65,8,2,83,55.3333333333333
"7","ALACHUA",82,"HOSPITAL HOMEBOUND",42,"high",10,5,2,3,0,0,0
"8","ALACHUA",91,"LITTLEWOOD ELEMENTARY SCHOOL",620,"elem",641,290,197,88,25,379,61.1290322580645
"9","ALACHUA",101,"W. A. METCALFE ELEMENTARY SCHO",398,"elem",541,36,481,7,2,376,94.4723618090452
"10","ALACHUA",111,"JOSEPH WILLIAMS ELEM. SCHOOL",566,"elem",568,77,410,13,45,409,72.2614840989399
"11","ALACHUA",112,"ABRAHAM LINCOLN MIDDLE SCHOOL",677,"mid",717,183,361,24,105,367,54.2097488921713
"12","ALACHUA",121,"HOWARD W. BISHOP MIDDLE SCHOOL",692,"mid",748,250,395,30,23,419,60.5491329479769
"13","ALACHUA",141,"WESTWOOD MIDDLE SCHOOL",986,"mid",932,386,345,98,37,547,55.4766734279919
"14","ALACHUA",151,"GAINESVILLE HIGH SCHOOL",1836,"high",1840,826,648,182,66,803,43.7363834422658
"15","ALACHUA",161,"ALACHUA ELEMENTARY SCHOOL",365,"elem",354,183,103,48,3,233,63.8356164383562
"16","ALACHUA",171,"ARCHER ELEMENTARY",453,"elem",499,288,129,42,10,267,58.9403973509934
"17","ALACHUA",201,"HAWTHORNE MIDDLE/HIGH SCHOOL",281,"high",258,143,97,10,0,224,79.7153024911032
"18","ALACHUA",221,"A. L. MEBANE MIDDLE SCHOOL",356,"mid",388,195,122,42,3,222,62.3595505617977
"19","ALACHUA",261,"NEWBERRY HIGH SCHOOL",574,"high",614,404,131,49,5,276,48.0836236933798
"20","ALACHUA",271,"SANTA FE HIGH SCHOOL",1135,"high",1173,809,217,90,12,459,40.4405286343612
"21","ALACHUA",281,"CHESTER SHELL ELEMENTARY SCHL",194,"elem",208,120,69,14,0,161,82.9896907216495
"22","ALACHUA",291,"WALDO COMMUNITY SCHOOL",221,"elem",193,111,54,7,3,182,82.3529411764706
"23","ALACHUA",311,"MYRA TERWILLIGER ELEM. SCHOOL",678,"elem",677,154,354,81,16,569,83.9233038348083
"24","ALACHUA",321,"IDYLWILD ELEMENTARY SCHOOL",682,"elem",711,145,377,87,44,558,81.8181818181818
"25","ALACHUA",331,"GLEN SPRINGS ELEMENTARY SCHOOL",474,"elem",474,271,107,38,14,206,43.4599156118143
"26","ALACHUA",341,"MARJORIE KINNAN RAWLINGS ELEM",387,"elem",337,4,304,12,0,367,94.8320413436692
"27","ALACHUA",343,"CHARACTER COUNTS CENTER",37,NA,NA,NA,NA,NA,NA,31,83.7837837837838
"28","ALACHUA",411,"PROFESSIONAL ACADEMY MAGNET AT",217,"high",215,101,86,17,3,142,65.4377880184332
"29","ALACHUA",412,"HORIZON CTR. ALTERNATIVE SCHL",88,"mid",52,2,47,2,0,77,87.5
"30","ALACHUA",421,"EASTSIDE HIGH SCHOOL",1346,"high",1393,379,714,80,152,740,54.9777117384844
"31","ALACHUA",431,"F. W. BUCHHOLZ HIGH SCHOOL",2182,"high",2202,1274,447,222,147,655,30.0183318056829
"32","ALACHUA",461,"HIGH SPRINGS COMMUNITY SCHOOL",871,"elem",810,623,87,69,10,369,42.3650975889782
"33","ALACHUA",481,"FORT CLARKE MIDDLE SCHOOL",843,"mid",830,423,213,106,37,371,44.0094899169632
"34","ALACHUA",482,"HIDDEN OAK ELEMENTARY SCHOOL",726,"elem",780,412,133,81,92,221,30.4407713498623
"35","ALACHUA",492,"FEARNSIDE FAMILY SERVICES CENT",62,"pk",64,1,60,1,1,62,100
"36","ALACHUA",500,"PRAIRIE VIEW ACADEMY",48,NA,NA,NA,NA,NA,NA,48,100
"37","ALACHUA",501,"KIMBALL WILES ELEM. SCHOOL",808,"elem",839,404,171,85,111,300,37.1287128712871
"38","ALACHUA",502,"KANAPAHA MIDDLE SCHOOL",970,"mid",961,481,263,109,49,471,48.5567010309278
"39","ALACHUA",503,"WILES HEAD START",85,"pk",87,7,61,9,2,85,100
"40","ALACHUA",510,"LAWTON M. CHILES ELEM. SCHOOL",688,"elem",717,360,198,47,44,226,32.8488372093023
"41","ALACHUA",520,"MEADOWBROOK ELEMENTARY SCHOOL",710,"elem",732,407,138,77,44,278,39.1549295774648
"42","ALACHUA",531,"NEWBERRY ELEMENTARY SCHOOL",520,"elem",582,364,105,55,7,283,54.4230769230769
"43","ALACHUA",541,"C. W. NORTON ELEMENTARY SCHOOL",675,"elem",672,326,196,53,33,383,56.7407407407407
"44","ALACHUA",561,"WILLIAM S. TALBOT ELEM SCHOOL",707,"elem",676,356,125,71,74,227,32.1074964639321
"45","ALACHUA",571,"W. W. IRBY ELEMENTARY SCHOOL",506,"elem",493,248,161,42,7,330,65.2173913043478
"46","ALACHUA",591,"OAK VIEW MIDDLE SCHOOL",700,"mid",700,471,124,57,9,318,45.4285714285714
"47","ALACHUA",602,"ALACHUA ACADEMY",24,"high",0,0,0,0,0,0,0
"48","ALACHUA",603,"AMIKIDS",34,"mid",26,5,18,2,0,23,67.6470588235294
"49","ALACHUA",604,"PACE",36,"high",11,3,7,0,0,20,55.5555555555556
"50","ALACHUA",950,"THE ONE ROOM SCHOOL HOUSE PROJ",217,"elem",236,74,120,14,4,159,73.2718894009217
"51","ALACHUA",951,"MICANOPY AREA COOPERATIVE SCHO",146,"elem",180,138,15,12,0,77,52.7397260273973
"52","ALACHUA",953,"CARING & SHARING LEARNING SCHO",136,"elem",135,0,132,1,0,124,91.1764705882353
"53","ALACHUA",955,"EINSTEIN MONTESSORI SCHOOL",100,NA,NA,NA,NA,NA,NA,47,47
"54","ALACHUA",956,"EXPRESSIONS LEARNING ARTS ACAD",92,"elem",93,65,2,14,3,12,13.0434782608696
"55","ALACHUA",957,"ALACHUA LEARNING CENTER, INC.",112,"elem",111,69,12,17,2,65,58.0357142857143
"56","ALACHUA",958,"GENESIS PREPARATORY SCHOOL",69,"elem",65,1,59,0,0,58,84.0579710144928
"57","ALACHUA",961,"MICANOPY MIDDLE SCHOOL, INC.",64,"mid",64,48,13,0,0,32,50
"58","ALACHUA",971,"HOGGETOWNE MIDDLE SCHOOL",113,NA,NA,NA,NA,NA,NA,82,72.5663716814159
"59","ALACHUA",981,"HEALTHY LEARNING ACADEMY CHART",89,"elem",98,78,5,6,0,15,16.8539325842697
"60","ALACHUA",991,"SIATECH GAINESVILLE",113,"high",205,52,116,29,0,0,0
"61","ALACHUA",1003,"MYCROSCHOOL GAINESVILLE",280,"high",327,57,233,20,0,35,12.5
"62","ALACHUA",1010,"ONE ROOM MIDDLE SCHOOL",41,"mid",41,19,14,6,1,23,56.0975609756098
"63","ALACHUA",1011,"ALACHUA LEARNING CENTER , INC.",56,"mid",61,34,5,12,4,26,46.4285714285714
"64","ALACHUA",7004,"ALACHUA ESCHOOL (VIRTUAL FRANC",66,"high",48,33,12,1,0,0,0
"65","ALACHUA",7023,"ALACHUA VIRTUAL INSTRUC PROG(D",35,"elem",0,0,0,0,0,0,0
"66","ALACHUA",9029,"ALACHUA REGIONAL JUVENILE DETE",39,"high",21,6,13,2,0,0,0
"67","BAKER",12,"BAKER COUNTY SENIOR HIGH SCHOO",1240,"high",1261,1060,142,24,5,557,44.9193548387097
"68","BAKER",13,"MACCLENNY ELEMENTARY SCHOOL",634,"elem",641,515,74,15,5,393,61.98738170347
"69","BAKER",22,"PREK/KINDERGARTEN CENTER",608,"elem",570,460,67,11,6,416,68.4210526315789
"70","BAKER",31,"J FRANKLYN KELLER INTERMEDIATE",757,"elem",772,643,94,15,1,473,62.4834874504623
"71","BAKER",32,"BAKER COUNTY MIDDLE SCHOOL",1143,"mid",1107,938,119,17,1,695,60.8048993875765
"72","BAKER",91,"WESTSIDE ELEMENTARY SCHOOL",603,"elem",584,479,75,10,2,433,71.8076285240464
"73","BAY",61,"BAY HIGH SCHOOL",1331,"high",1365,748,379,114,37,791,59.4290007513148
"74","BAY",71,"MERRITT BROWN MIDDLE SCHOOL",793,"mid",727,608,47,30,6,519,65.4476670870114
"75","BAY",81,"HUTCHISON BEACH ELEMENTARY SCH",685,"elem",721,576,21,68,10,486,70.948905109489
"76","BAY",91,"CEDAR GROVE ELEMENTARY SCHOOL",487,"elem",473,232,168,25,8,429,88.0903490759754
"77","BAY",101,"CALLAWAY ELEMENTARY SCHOOL",543,"elem",524,309,116,34,9,442,81.3996316758748
"78","BAY",111,"MERRIAM CHERRY STREET ELEM.",426,"elem",403,208,137,25,8,341,80.0469483568075
"79","BAY",131,"LUCILLE MOORE ELEMENTARY SCHL",528,"elem",557,223,179,91,6,0,0
"80","BAY",141,"EVERITT MIDDLE SCHOOL",773,"mid",608,282,211,43,19,631,81.6300129366106
